Review,Rating
Battery backup is excellent,5
Camera quality is poor,2
Display is bright and clear,5
Phone heats up while gaming,2
Sound quality is average,3
Charging speed is very fast,5
Front camera is excellent,5
The design looks premium,5
Battery drains quickly,2
Fingerprint sensor works well,4
Speaker quality is amazing,5
The phone is overpriced,2
Gaming performance is excellent,5
Screen brightness is low outdoors,3
Excellent value for money,5
The phone lags sometimes,2
Camera performs well in daylight,4
Build quality feels solid,5
Charging takes too long,2
Software experience is smooth,5
